table,seq,column,is_pk,is_fk,type,i1,size,description,d_segment,id
pct12f,184,pct012f181,,,INTEGER,,,74 years,,d1Fc183j02Y
pct12f,185,pct012f182,,,INTEGER,,,75 years,,d1Fc183j02Z
pct12f,186,pct012f183,,,INTEGER,,,76 years,,d1Fc183j030
pct12f,187,pct012f184,,,INTEGER,,,77 years,,d1Fc183j031
pct12f,188,pct012f185,,,INTEGER,,,78 years,,d1Fc183j032
pct12f,189,pct012f186,,,INTEGER,,,79 years,,d1Fc183j033
pct12f,190,pct012f187,,,INTEGER,,,80 years,,d1Fc183j034
pct12f,191,pct012f188,,,INTEGER,,,81 years,,d1Fc183j035
pct12f,192,pct012f189,,,INTEGER,,,82 years,,d1Fc183j036
pct12f,193,pct012f190,,,INTEGER,,,83 years,,d1Fc183j037
pct12f,194,pct012f191,,,INTEGER,,,84 years,,d1Fc183j038
pct12f,195,pct012f192,,,INTEGER,,,85 years,,d1Fc183j039
pct12f,196,pct012f193,,,INTEGER,,,86 years,,d1Fc183j03a
pct12f,197,pct012f194,,,INTEGER,,,87 years,,d1Fc183j03b
pct12f,198,pct012f195,,,INTEGER,,,88 years,,d1Fc183j03c
pct12f,199,pct012f196,,,INTEGER,,,89 years,,d1Fc183j03d
pct12f,200,pct012f197,,,INTEGER,,,90 years,,d1Fc183j03e
pct12f,201,pct012f198,,,INTEGER,,,91 years,,d1Fc183j03f
pct12f,202,pct012f199,,,INTEGER,,,92 years,,d1Fc183j03g
pct12f,203,pct012f200,,,INTEGER,,,93 years,,d1Fc183j03h
pct12f,204,pct012f201,,,INTEGER,,,94 years,,d1Fc183j03i
pct12f,205,pct012f202,,,INTEGER,,,95 years,,d1Fc183j03j
pct12f,206,pct012f203,,,INTEGER,,,96 years,,d1Fc183j03k
pct12f,207,pct012f204,,,INTEGER,,,97 years,,d1Fc183j03l
pct12f,208,pct012f205,,,INTEGER,,,98 years,,d1Fc183j03m
pct12f,209,pct012f206,,,INTEGER,,,99 years,,d1Fc183j03n
pct12f,210,pct012f207,,,INTEGER,,,100 to 104 years,,d1Fc183j03o
pct12f,211,pct012f208,,,INTEGER,,,105 to 109 years,,d1Fc183j03p
pct12f,212,pct012f209,,,INTEGER,,,110 years and over,,d1Fc183j03q
,,,,,,,,,,
pct12g,1,id,1,,INTEGER64,,6,,,d1Fc183k001
pct12g,2,stusab,,,VARCHAR,1,6,,,d1Fc183k002
pct12g,3,logrecno,,,INTEGER,1,7,,,d1Fc183k003
pct12g,4,pct012g001,,,INTEGER,,,Total:,,d1Fc183k004
pct12g,5,pct012g002,,,INTEGER,,,Male:,,d1Fc183k005
pct12g,6,pct012g003,,,INTEGER,,,Under 1 year,,d1Fc183k006
pct12g,7,pct012g004,,,INTEGER,,,1 year,,d1Fc183k007
pct12g,8,pct012g005,,,INTEGER,,,2 years,,d1Fc183k008
pct12g,9,pct012g006,,,INTEGER,,,3 years,,d1Fc183k009
pct12g,10,pct012g007,,,INTEGER,,,4 years,,d1Fc183k00a
pct12g,11,pct012g008,,,INTEGER,,,5 years,,d1Fc183k00b
pct12g,12,pct012g009,,,INTEGER,,,6 years,,d1Fc183k00c
pct12g,13,pct012g010,,,INTEGER,,,7 years,,d1Fc183k00d
pct12g,14,pct012g011,,,INTEGER,,,8 years,,d1Fc183k00e
pct12g,15,pct012g012,,,INTEGER,,,9 years,,d1Fc183k00f
pct12g,16,pct012g013,,,INTEGER,,,10 years,,d1Fc183k00g
pct12g,17,pct012g014,,,INTEGER,,,11 years,,d1Fc183k00h
pct12g,18,pct012g015,,,INTEGER,,,12 years,,d1Fc183k00i
pct12g,19,pct012g016,,,INTEGER,,,13 years,,d1Fc183k00j
pct12g,20,pct012g017,,,INTEGER,,,14 years,,d1Fc183k00k
pct12g,21,pct012g018,,,INTEGER,,,15 years,,d1Fc183k00l
pct12g,22,pct012g019,,,INTEGER,,,16 years,,d1Fc183k00m
pct12g,23,pct012g020,,,INTEGER,,,17 years,,d1Fc183k00n
pct12g,24,pct012g021,,,INTEGER,,,18 years,,d1Fc183k00o
pct12g,25,pct012g022,,,INTEGER,,,19 years,,d1Fc183k00p
pct12g,26,pct012g023,,,INTEGER,,,20 years,,d1Fc183k00q
pct12g,27,pct012g024,,,INTEGER,,,21 years,,d1Fc183k00r
pct12g,28,pct012g025,,,INTEGER,,,22 years,,d1Fc183k00s
pct12g,29,pct012g026,,,INTEGER,,,23 years,,d1Fc183k00t
pct12g,30,pct012g027,,,INTEGER,,,24 years,,d1Fc183k00u
pct12g,31,pct012g028,,,INTEGER,,,25 years,,d1Fc183k00v
pct12g,32,pct012g029,,,INTEGER,,,26 years,,d1Fc183k00w
pct12g,33,pct012g030,,,INTEGER,,,27 years,,d1Fc183k00x
pct12g,34,pct012g031,,,INTEGER,,,28 years,,d1Fc183k00y
pct12g,35,pct012g032,,,INTEGER,,,29 years,,d1Fc183k00z
pct12g,36,pct012g033,,,INTEGER,,,30 years,,d1Fc183k00A
pct12g,37,pct012g034,,,INTEGER,,,31 years,,d1Fc183k00B
pct12g,38,pct012g035,,,INTEGER,,,32 years,,d1Fc183k00C
pct12g,39,pct012g036,,,INTEGER,,,33 years,,d1Fc183k00D
pct12g,40,pct012g037,,,INTEGER,,,34 years,,d1Fc183k00E
pct12g,41,pct012g038,,,INTEGER,,,35 years,,d1Fc183k00F
pct12g,42,pct012g039,,,INTEGER,,,36 years,,d1Fc183k00G
pct12g,43,pct012g040,,,INTEGER,,,37 years,,d1Fc183k00H
pct12g,44,pct012g041,,,INTEGER,,,38 years,,d1Fc183k00I
pct12g,45,pct012g042,,,INTEGER,,,39 years,,d1Fc183k00J
pct12g,46,pct012g043,,,INTEGER,,,40 years,,d1Fc183k00K
pct12g,47,pct012g044,,,INTEGER,,,41 years,,d1Fc183k00L
pct12g,48,pct012g045,,,INTEGER,,,42 years,,d1Fc183k00M
pct12g,49,pct012g046,,,INTEGER,,,43 years,,d1Fc183k00N
pct12g,50,pct012g047,,,INTEGER,,,44 years,,d1Fc183k00O
pct12g,51,pct012g048,,,INTEGER,,,45 years,,d1Fc183k00P
pct12g,52,pct012g049,,,INTEGER,,,46 years,,d1Fc183k00Q
pct12g,53,pct012g050,,,INTEGER,,,47 years,,d1Fc183k00R
pct12g,54,pct012g051,,,INTEGER,,,48 years,,d1Fc183k00S
pct12g,55,pct012g052,,,INTEGER,,,49 years,,d1Fc183k00T
pct12g,56,pct012g053,,,INTEGER,,,50 years,,d1Fc183k00U
pct12g,57,pct012g054,,,INTEGER,,,51 years,,d1Fc183k00V
pct12g,58,pct012g055,,,INTEGER,,,52 years,,d1Fc183k00W
pct12g,59,pct012g056,,,INTEGER,,,53 years,,d1Fc183k00X
pct12g,60,pct012g057,,,INTEGER,,,54 years,,d1Fc183k00Y
pct12g,61,pct012g058,,,INTEGER,,,55 years,,d1Fc183k00Z
pct12g,62,pct012g059,,,INTEGER,,,56 years,,d1Fc183k010
pct12g,63,pct012g060,,,INTEGER,,,57 years,,d1Fc183k011
pct12g,64,pct012g061,,,INTEGER,,,58 years,,d1Fc183k012
pct12g,65,pct012g062,,,INTEGER,,,59 years,,d1Fc183k013
pct12g,66,pct012g063,,,INTEGER,,,60 years,,d1Fc183k014
pct12g,67,pct012g064,,,INTEGER,,,61 years,,d1Fc183k015
pct12g,68,pct012g065,,,INTEGER,,,62 years,,d1Fc183k016
pct12g,69,pct012g066,,,INTEGER,,,63 years,,d1Fc183k017
pct12g,70,pct012g067,,,INTEGER,,,64 years,,d1Fc183k018
pct12g,71,pct012g068,,,INTEGER,,,65 years,,d1Fc183k019
pct12g,72,pct012g069,,,INTEGER,,,66 years,,d1Fc183k01a
pct12g,73,pct012g070,,,INTEGER,,,67 years,,d1Fc183k01b
pct12g,74,pct012g071,,,INTEGER,,,68 years,,d1Fc183k01c
pct12g,75,pct012g072,,,INTEGER,,,69 years,,d1Fc183k01d
pct12g,76,pct012g073,,,INTEGER,,,70 years,,d1Fc183k01e
pct12g,77,pct012g074,,,INTEGER,,,71 years,,d1Fc183k01f
pct12g,78,pct012g075,,,INTEGER,,,72 years,,d1Fc183k01g
pct12g,79,pct012g076,,,INTEGER,,,73 years,,d1Fc183k01h
pct12g,80,pct012g077,,,INTEGER,,,74 years,,d1Fc183k01i
pct12g,81,pct012g078,,,INTEGER,,,75 years,,d1Fc183k01j
pct12g,82,pct012g079,,,INTEGER,,,76 years,,d1Fc183k01k
pct12g,83,pct012g080,,,INTEGER,,,77 years,,d1Fc183k01l
pct12g,84,pct012g081,,,INTEGER,,,78 years,,d1Fc183k01m
pct12g,85,pct012g082,,,INTEGER,,,79 years,,d1Fc183k01n
pct12g,86,pct012g083,,,INTEGER,,,80 years,,d1Fc183k01o
pct12g,87,pct012g084,,,INTEGER,,,81 years,,d1Fc183k01p
pct12g,88,pct012g085,,,INTEGER,,,82 years,,d1Fc183k01q
pct12g,89,pct012g086,,,INTEGER,,,83 years,,d1Fc183k01r
pct12g,90,pct012g087,,,INTEGER,,,84 years,,d1Fc183k01s
pct12g,91,pct012g088,,,INTEGER,,,85 years,,d1Fc183k01t
pct12g,92,pct012g089,,,INTEGER,,,86 years,,d1Fc183k01u
pct12g,93,pct012g090,,,INTEGER,,,87 years,,d1Fc183k01v
pct12g,94,pct012g091,,,INTEGER,,,88 years,,d1Fc183k01w
pct12g,95,pct012g092,,,INTEGER,,,89 years,,d1Fc183k01x
pct12g,96,pct012g093,,,INTEGER,,,90 years,,d1Fc183k01y
pct12g,97,pct012g094,,,INTEGER,,,91 years,,d1Fc183k01z
pct12g,98,pct012g095,,,INTEGER,,,92 years,,d1Fc183k01A
pct12g,99,pct012g096,,,INTEGER,,,93 years,,d1Fc183k01B
pct12g,100,pct012g097,,,INTEGER,,,94 years,,d1Fc183k01C
pct12g,101,pct012g098,,,INTEGER,,,95 years,,d1Fc183k01D
pct12g,102,pct012g099,,,INTEGER,,,96 years,,d1Fc183k01E
pct12g,103,pct012g100,,,INTEGER,,,97 years,,d1Fc183k01F
pct12g,104,pct012g101,,,INTEGER,,,98 years,,d1Fc183k01G
pct12g,105,pct012g102,,,INTEGER,,,99 years,,d1Fc183k01H
pct12g,106,pct012g103,,,INTEGER,,,100 to 104 years,,d1Fc183k01I
pct12g,107,pct012g104,,,INTEGER,,,105 to 109 years,,d1Fc183k01J
pct12g,108,pct012g105,,,INTEGER,,,110 years and over,,d1Fc183k01K
pct12g,109,pct012g106,,,INTEGER,,,Female:,,d1Fc183k01L
pct12g,110,pct012g107,,,INTEGER,,,Under 1 year,,d1Fc183k01M
pct12g,111,pct012g108,,,INTEGER,,,1 year,,d1Fc183k01N
pct12g,112,pct012g109,,,INTEGER,,,2 years,,d1Fc183k01O
pct12g,113,pct012g110,,,INTEGER,,,3 years,,d1Fc183k01P
pct12g,114,pct012g111,,,INTEGER,,,4 years,,d1Fc183k01Q
pct12g,115,pct012g112,,,INTEGER,,,5 years,,d1Fc183k01R
pct12g,116,pct012g113,,,INTEGER,,,6 years,,d1Fc183k01S
pct12g,117,pct012g114,,,INTEGER,,,7 years,,d1Fc183k01T
pct12g,118,pct012g115,,,INTEGER,,,8 years,,d1Fc183k01U
pct12g,119,pct012g116,,,INTEGER,,,9 years,,d1Fc183k01V
pct12g,120,pct012g117,,,INTEGER,,,10 years,,d1Fc183k01W
pct12g,121,pct012g118,,,INTEGER,,,11 years,,d1Fc183k01X
pct12g,122,pct012g119,,,INTEGER,,,12 years,,d1Fc183k01Y
pct12g,123,pct012g120,,,INTEGER,,,13 years,,d1Fc183k01Z
pct12g,124,pct012g121,,,INTEGER,,,14 years,,d1Fc183k020
pct12g,125,pct012g122,,,INTEGER,,,15 years,,d1Fc183k021
pct12g,126,pct012g123,,,INTEGER,,,16 years,,d1Fc183k022
pct12g,127,pct012g124,,,INTEGER,,,17 years,,d1Fc183k023
pct12g,128,pct012g125,,,INTEGER,,,18 years,,d1Fc183k024
pct12g,129,pct012g126,,,INTEGER,,,19 years,,d1Fc183k025
pct12g,130,pct012g127,,,INTEGER,,,20 years,,d1Fc183k026
pct12g,131,pct012g128,,,INTEGER,,,21 years,,d1Fc183k027
pct12g,132,pct012g129,,,INTEGER,,,22 years,,d1Fc183k028
pct12g,133,pct012g130,,,INTEGER,,,23 years,,d1Fc183k029
pct12g,134,pct012g131,,,INTEGER,,,24 years,,d1Fc183k02a
pct12g,135,pct012g132,,,INTEGER,,,25 years,,d1Fc183k02b
pct12g,136,pct012g133,,,INTEGER,,,26 years,,d1Fc183k02c
pct12g,137,pct012g134,,,INTEGER,,,27 years,,d1Fc183k02d
pct12g,138,pct012g135,,,INTEGER,,,28 years,,d1Fc183k02e
pct12g,139,pct012g136,,,INTEGER,,,29 years,,d1Fc183k02f
pct12g,140,pct012g137,,,INTEGER,,,30 years,,d1Fc183k02g
pct12g,141,pct012g138,,,INTEGER,,,31 years,,d1Fc183k02h
pct12g,142,pct012g139,,,INTEGER,,,32 years,,d1Fc183k02i
pct12g,143,pct012g140,,,INTEGER,,,33 years,,d1Fc183k02j
pct12g,144,pct012g141,,,INTEGER,,,34 years,,d1Fc183k02k
pct12g,145,pct012g142,,,INTEGER,,,35 years,,d1Fc183k02l
pct12g,146,pct012g143,,,INTEGER,,,36 years,,d1Fc183k02m
pct12g,147,pct012g144,,,INTEGER,,,37 years,,d1Fc183k02n
pct12g,148,pct012g145,,,INTEGER,,,38 years,,d1Fc183k02o
pct12g,149,pct012g146,,,INTEGER,,,39 years,,d1Fc183k02p
pct12g,150,pct012g147,,,INTEGER,,,40 years,,d1Fc183k02q
pct12g,151,pct012g148,,,INTEGER,,,41 years,,d1Fc183k02r
pct12g,152,pct012g149,,,INTEGER,,,42 years,,d1Fc183k02s
pct12g,153,pct012g150,,,INTEGER,,,43 years,,d1Fc183k02t
pct12g,154,pct012g151,,,INTEGER,,,44 years,,d1Fc183k02u
pct12g,155,pct012g152,,,INTEGER,,,45 years,,d1Fc183k02v
pct12g,156,pct012g153,,,INTEGER,,,46 years,,d1Fc183k02w
pct12g,157,pct012g154,,,INTEGER,,,47 years,,d1Fc183k02x
pct12g,158,pct012g155,,,INTEGER,,,48 years,,d1Fc183k02y
pct12g,159,pct012g156,,,INTEGER,,,49 years,,d1Fc183k02z
pct12g,160,pct012g157,,,INTEGER,,,50 years,,d1Fc183k02A
pct12g,161,pct012g158,,,INTEGER,,,51 years,,d1Fc183k02B
pct12g,162,pct012g159,,,INTEGER,,,52 years,,d1Fc183k02C
pct12g,163,pct012g160,,,INTEGER,,,53 years,,d1Fc183k02D
pct12g,164,pct012g161,,,INTEGER,,,54 years,,d1Fc183k02E
pct12g,165,pct012g162,,,INTEGER,,,55 years,,d1Fc183k02F
pct12g,166,pct012g163,,,INTEGER,,,56 years,,d1Fc183k02G
pct12g,167,pct012g164,,,INTEGER,,,57 years,,d1Fc183k02H
pct12g,168,pct012g165,,,INTEGER,,,58 years,,d1Fc183k02I
pct12g,169,pct012g166,,,INTEGER,,,59 years,,d1Fc183k02J
pct12g,170,pct012g167,,,INTEGER,,,60 years,,d1Fc183k02K
pct12g,171,pct012g168,,,INTEGER,,,61 years,,d1Fc183k02L
pct12g,172,pct012g169,,,INTEGER,,,62 years,,d1Fc183k02M
pct12g,173,pct012g170,,,INTEGER,,,63 years,,d1Fc183k02N
pct12g,174,pct012g171,,,INTEGER,,,64 years,,d1Fc183k02O
pct12g,175,pct012g172,,,INTEGER,,,65 years,,d1Fc183k02P
pct12g,176,pct012g173,,,INTEGER,,,66 years,,d1Fc183k02Q
pct12g,177,pct012g174,,,INTEGER,,,67 years,,d1Fc183k02R
pct12g,178,pct012g175,,,INTEGER,,,68 years,,d1Fc183k02S
pct12g,179,pct012g176,,,INTEGER,,,69 years,,d1Fc183k02T
pct12g,180,pct012g177,,,INTEGER,,,70 years,,d1Fc183k02U
pct12g,181,pct012g178,,,INTEGER,,,71 years,,d1Fc183k02V
pct12g,182,pct012g179,,,INTEGER,,,72 years,,d1Fc183k02W
pct12g,183,pct012g180,,,INTEGER,,,73 years,,d1Fc183k02X
pct12g,184,pct012g181,,,INTEGER,,,74 years,,d1Fc183k02Y
pct12g,185,pct012g182,,,INTEGER,,,75 years,,d1Fc183k02Z
pct12g,186,pct012g183,,,INTEGER,,,76 years,,d1Fc183k030
pct12g,187,pct012g184,,,INTEGER,,,77 years,,d1Fc183k031
pct12g,188,pct012g185,,,INTEGER,,,78 years,,d1Fc183k032
pct12g,189,pct012g186,,,INTEGER,,,79 years,,d1Fc183k033
pct12g,190,pct012g187,,,INTEGER,,,80 years,,d1Fc183k034
pct12g,191,pct012g188,,,INTEGER,,,81 years,,d1Fc183k035
pct12g,192,pct012g189,,,INTEGER,,,82 years,,d1Fc183k036
pct12g,193,pct012g190,,,INTEGER,,,83 years,,d1Fc183k037
pct12g,194,pct012g191,,,INTEGER,,,84 years,,d1Fc183k038
pct12g,195,pct012g192,,,INTEGER,,,85 years,,d1Fc183k039
pct12g,196,pct012g193,,,INTEGER,,,86 years,,d1Fc183k03a
pct12g,197,pct012g194,,,INTEGER,,,87 years,,d1Fc183k03b
pct12g,198,pct012g195,,,INTEGER,,,88 years,,d1Fc183k03c
pct12g,199,pct012g196,,,INTEGER,,,89 years,,d1Fc183k03d
pct12g,200,pct012g197,,,INTEGER,,,90 years,,d1Fc183k03e
pct12g,201,pct012g198,,,INTEGER,,,91 years,,d1Fc183k03f
pct12g,202,pct012g199,,,INTEGER,,,92 years,,d1Fc183k03g
pct12g,203,pct012g200,,,INTEGER,,,93 years,,d1Fc183k03h
pct12g,204,pct012g201,,,INTEGER,,,94 years,,d1Fc183k03i
pct12g,205,pct012g202,,,INTEGER,,,95 years,,d1Fc183k03j
pct12g,206,pct012g203,,,INTEGER,,,96 years,,d1Fc183k03k
pct12g,207,pct012g204,,,INTEGER,,,97 years,,d1Fc183k03l
pct12g,208,pct012g205,,,INTEGER,,,98 years,,d1Fc183k03m
pct12g,209,pct012g206,,,INTEGER,,,99 years,,d1Fc183k03n
pct12g,210,pct012g207,,,INTEGER,,,100 to 104 years,,d1Fc183k03o
pct12g,211,pct012g208,,,INTEGER,,,105 to 109 years,,d1Fc183k03p
pct12g,212,pct012g209,,,INTEGER,,,110 years and over,,d1Fc183k03q
,,,,,,,,,,
pct12h,1,id,1,,INTEGER64,,6,,,d1Fc183l001
pct12h,2,stusab,,,VARCHAR,1,6,,,d1Fc183l002
pct12h,3,logrecno,,,INTEGER,1,7,,,d1Fc183l003
pct12h,4,pct012h001,,,INTEGER,,,Total:,,d1Fc183l004
pct12h,5,pct012h002,,,INTEGER,,,Male:,,d1Fc183l005
pct12h,6,pct012h003,,,INTEGER,,,Under 1 year,,d1Fc183l006
pct12h,7,pct012h004,,,INTEGER,,,1 year,,d1Fc183l007
pct12h,8,pct012h005,,,INTEGER,,,2 years,,d1Fc183l008
pct12h,9,pct012h006,,,INTEGER,,,3 years,,d1Fc183l009
pct12h,10,pct012h007,,,INTEGER,,,4 years,,d1Fc183l00a
pct12h,11,pct012h008,,,INTEGER,,,5 years,,d1Fc183l00b
pct12h,12,pct012h009,,,INTEGER,,,6 years,,d1Fc183l00c
pct12h,13,pct012h010,,,INTEGER,,,7 years,,d1Fc183l00d
pct12h,14,pct012h011,,,INTEGER,,,8 years,,d1Fc183l00e
pct12h,15,pct012h012,,,INTEGER,,,9 years,,d1Fc183l00f
pct12h,16,pct012h013,,,INTEGER,,,10 years,,d1Fc183l00g
pct12h,17,pct012h014,,,INTEGER,,,11 years,,d1Fc183l00h
pct12h,18,pct012h015,,,INTEGER,,,12 years,,d1Fc183l00i
pct12h,19,pct012h016,,,INTEGER,,,13 years,,d1Fc183l00j
pct12h,20,pct012h017,,,INTEGER,,,14 years,,d1Fc183l00k
pct12h,21,pct012h018,,,INTEGER,,,15 years,,d1Fc183l00l
pct12h,22,pct012h019,,,INTEGER,,,16 years,,d1Fc183l00m
pct12h,23,pct012h020,,,INTEGER,,,17 years,,d1Fc183l00n
pct12h,24,pct012h021,,,INTEGER,,,18 years,,d1Fc183l00o
pct12h,25,pct012h022,,,INTEGER,,,19 years,,d1Fc183l00p
pct12h,26,pct012h023,,,INTEGER,,,20 years,,d1Fc183l00q
pct12h,27,pct012h024,,,INTEGER,,,21 years,,d1Fc183l00r
pct12h,28,pct012h025,,,INTEGER,,,22 years,,d1Fc183l00s
pct12h,29,pct012h026,,,INTEGER,,,23 years,,d1Fc183l00t
pct12h,30,pct012h027,,,INTEGER,,,24 years,,d1Fc183l00u
pct12h,31,pct012h028,,,INTEGER,,,25 years,,d1Fc183l00v
pct12h,32,pct012h029,,,INTEGER,,,26 years,,d1Fc183l00w
pct12h,33,pct012h030,,,INTEGER,,,27 years,,d1Fc183l00x
pct12h,34,pct012h031,,,INTEGER,,,28 years,,d1Fc183l00y
pct12h,35,pct012h032,,,INTEGER,,,29 years,,d1Fc183l00z
pct12h,36,pct012h033,,,INTEGER,,,30 years,,d1Fc183l00A
pct12h,37,pct012h034,,,INTEGER,,,31 years,,d1Fc183l00B
pct12h,38,pct012h035,,,INTEGER,,,32 years,,d1Fc183l00C
pct12h,39,pct012h036,,,INTEGER,,,33 years,,d1Fc183l00D
pct12h,40,pct012h037,,,INTEGER,,,34 years,,d1Fc183l00E
pct12h,41,pct012h038,,,INTEGER,,,35 years,,d1Fc183l00F
pct12h,42,pct012h039,,,INTEGER,,,36 years,,d1Fc183l00G
pct12h,43,pct012h040,,,INTEGER,,,37 years,,d1Fc183l00H
pct12h,44,pct012h041,,,INTEGER,,,38 years,,d1Fc183l00I
pct12h,45,pct012h042,,,INTEGER,,,39 years,,d1Fc183l00J
pct12h,46,pct012h043,,,INTEGER,,,40 years,,d1Fc183l00K
pct12h,47,pct012h044,,,INTEGER,,,41 years,,d1Fc183l00L
pct12h,48,pct012h045,,,INTEGER,,,42 years,,d1Fc183l00M
pct12h,49,pct012h046,,,INTEGER,,,43 years,,d1Fc183l00N
pct12h,50,pct012h047,,,INTEGER,,,44 years,,d1Fc183l00O
pct12h,51,pct012h048,,,INTEGER,,,45 years,,d1Fc183l00P
pct12h,52,pct012h049,,,INTEGER,,,46 years,,d1Fc183l00Q
pct12h,53,pct012h050,,,INTEGER,,,47 years,,d1Fc183l00R
pct12h,54,pct012h051,,,INTEGER,,,48 years,,d1Fc183l00S
pct12h,55,pct012h052,,,INTEGER,,,49 years,,d1Fc183l00T
pct12h,56,pct012h053,,,INTEGER,,,50 years,,d1Fc183l00U
pct12h,57,pct012h054,,,INTEGER,,,51 years,,d1Fc183l00V
pct12h,58,pct012h055,,,INTEGER,,,52 years,,d1Fc183l00W
pct12h,59,pct012h056,,,INTEGER,,,53 years,,d1Fc183l00X
pct12h,60,pct012h057,,,INTEGER,,,54 years,,d1Fc183l00Y
pct12h,61,pct012h058,,,INTEGER,,,55 years,,d1Fc183l00Z
pct12h,62,pct012h059,,,INTEGER,,,56 years,,d1Fc183l010
pct12h,63,pct012h060,,,INTEGER,,,57 years,,d1Fc183l011
pct12h,64,pct012h061,,,INTEGER,,,58 years,,d1Fc183l012
pct12h,65,pct012h062,,,INTEGER,,,59 years,,d1Fc183l013
pct12h,66,pct012h063,,,INTEGER,,,60 years,,d1Fc183l014
pct12h,67,pct012h064,,,INTEGER,,,61 years,,d1Fc183l015
pct12h,68,pct012h065,,,INTEGER,,,62 years,,d1Fc183l016
pct12h,69,pct012h066,,,INTEGER,,,63 years,,d1Fc183l017
pct12h,70,pct012h067,,,INTEGER,,,64 years,,d1Fc183l018
pct12h,71,pct012h068,,,INTEGER,,,65 years,,d1Fc183l019
pct12h,72,pct012h069,,,INTEGER,,,66 years,,d1Fc183l01a
pct12h,73,pct012h070,,,INTEGER,,,67 years,,d1Fc183l01b
pct12h,74,pct012h071,,,INTEGER,,,68 years,,d1Fc183l01c
pct12h,75,pct012h072,,,INTEGER,,,69 years,,d1Fc183l01d
pct12h,76,pct012h073,,,INTEGER,,,70 years,,d1Fc183l01e
pct12h,77,pct012h074,,,INTEGER,,,71 years,,d1Fc183l01f
pct12h,78,pct012h075,,,INTEGER,,,72 years,,d1Fc183l01g
pct12h,79,pct012h076,,,INTEGER,,,73 years,,d1Fc183l01h
pct12h,80,pct012h077,,,INTEGER,,,74 years,,d1Fc183l01i
pct12h,81,pct012h078,,,INTEGER,,,75 years,,d1Fc183l01j
pct12h,82,pct012h079,,,INTEGER,,,76 years,,d1Fc183l01k
pct12h,83,pct012h080,,,INTEGER,,,77 years,,d1Fc183l01l
pct12h,84,pct012h081,,,INTEGER,,,78 years,,d1Fc183l01m
pct12h,85,pct012h082,,,INTEGER,,,79 years,,d1Fc183l01n
pct12h,86,pct012h083,,,INTEGER,,,80 years,,d1Fc183l01o
pct12h,87,pct012h084,,,INTEGER,,,81 years,,d1Fc183l01p
pct12h,88,pct012h085,,,INTEGER,,,82 years,,d1Fc183l01q
pct12h,89,pct012h086,,,INTEGER,,,83 years,,d1Fc183l01r
pct12h,90,pct012h087,,,INTEGER,,,84 years,,d1Fc183l01s
pct12h,91,pct012h088,,,INTEGER,,,85 years,,d1Fc183l01t
pct12h,92,pct012h089,,,INTEGER,,,86 years,,d1Fc183l01u
pct12h,93,pct012h090,,,INTEGER,,,87 years,,d1Fc183l01v
pct12h,94,pct012h091,,,INTEGER,,,88 years,,d1Fc183l01w
pct12h,95,pct012h092,,,INTEGER,,,89 years,,d1Fc183l01x
pct12h,96,pct012h093,,,INTEGER,,,90 years,,d1Fc183l01y
pct12h,97,pct012h094,,,INTEGER,,,91 years,,d1Fc183l01z
pct12h,98,pct012h095,,,INTEGER,,,92 years,,d1Fc183l01A
pct12h,99,pct012h096,,,INTEGER,,,93 years,,d1Fc183l01B
pct12h,100,pct012h097,,,INTEGER,,,94 years,,d1Fc183l01C
pct12h,101,pct012h098,,,INTEGER,,,95 years,,d1Fc183l01D
pct12h,102,pct012h099,,,INTEGER,,,96 years,,d1Fc183l01E
pct12h,103,pct012h100,,,INTEGER,,,97 years,,d1Fc183l01F
pct12h,104,pct012h101,,,INTEGER,,,98 years,,d1Fc183l01G
pct12h,105,pct012h102,,,INTEGER,,,99 years,,d1Fc183l01H
pct12h,106,pct012h103,,,INTEGER,,,100 to 104 years,,d1Fc183l01I
pct12h,107,pct012h104,,,INTEGER,,,105 to 109 years,,d1Fc183l01J
pct12h,108,pct012h105,,,INTEGER,,,110 years and over,,d1Fc183l01K
pct12h,109,pct012h106,,,INTEGER,,,Female:,,d1Fc183l01L
pct12h,110,pct012h107,,,INTEGER,,,Under 1 year,,d1Fc183l01M
pct12h,111,pct012h108,,,INTEGER,,,1 year,,d1Fc183l01N
pct12h,112,pct012h109,,,INTEGER,,,2 years,,d1Fc183l01O
pct12h,113,pct012h110,,,INTEGER,,,3 years,,d1Fc183l01P
pct12h,114,pct012h111,,,INTEGER,,,4 years,,d1Fc183l01Q
pct12h,115,pct012h112,,,INTEGER,,,5 years,,d1Fc183l01R
pct12h,116,pct012h113,,,INTEGER,,,6 years,,d1Fc183l01S
pct12h,117,pct012h114,,,INTEGER,,,7 years,,d1Fc183l01T
pct12h,118,pct012h115,,,INTEGER,,,8 years,,d1Fc183l01U
pct12h,119,pct012h116,,,INTEGER,,,9 years,,d1Fc183l01V
pct12h,120,pct012h117,,,INTEGER,,,10 years,,d1Fc183l01W
pct12h,121,pct012h118,,,INTEGER,,,11 years,,d1Fc183l01X
pct12h,122,pct012h119,,,INTEGER,,,12 years,,d1Fc183l01Y
pct12h,123,pct012h120,,,INTEGER,,,13 years,,d1Fc183l01Z
pct12h,124,pct012h121,,,INTEGER,,,14 years,,d1Fc183l020
pct12h,125,pct012h122,,,INTEGER,,,15 years,,d1Fc183l021
pct12h,126,pct012h123,,,INTEGER,,,16 years,,d1Fc183l022
