table,seq,column,is_pk,is_fk,type,ui1,size,description,id
p20,9,p0200007,,,INTEGER,,,6 to 17 years only,d4d0RJ0F009
p20,10,p0200008,,,INTEGER,,,Other family:,d4d0RJ0F00a
p20,11,p0200009,,,INTEGER,,,"Male householder, no wife present:",d4d0RJ0F00b
p20,12,p0200010,,,INTEGER,,,Under 6 years only,d4d0RJ0F00c
p20,13,p0200011,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ0F00d
p20,14,p0200012,,,INTEGER,,,6 to 17 years only,d4d0RJ0F00e
p20,15,p0200013,,,INTEGER,,,"Female householder, no husband present:",d4d0RJ0F00f
p20,16,p0200014,,,INTEGER,,,Under 6 years only,d4d0RJ0F00g
p20,17,p0200015,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ0F00h
p20,18,p0200016,,,INTEGER,,,6 to 17 years only,d4d0RJ0F00i
p20,19,p0200017,,,INTEGER,,,Nonfamily households:,d4d0RJ0F00j
p20,20,p0200018,,,INTEGER,,,Male householder:,d4d0RJ0F00k
p20,21,p0200019,,,INTEGER,,,Under 6 years only,d4d0RJ0F00l
p20,22,p0200020,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ0F00m
p20,23,p0200021,,,INTEGER,,,6 to 17 years only,d4d0RJ0F00n
p20,24,p0200022,,,INTEGER,,,Female householder:,d4d0RJ0F00o
p20,25,p0200023,,,INTEGER,,,Under 6 years only,d4d0RJ0F00p
p20,26,p0200024,,,INTEGER,,,Under 6 years and 6 to 17 years,d4d0RJ0F00q
p20,27,p0200025,,,INTEGER,,,6 to 17 years only,d4d0RJ0F00r
p20,28,p0200026,,,INTEGER,,,Households with no people under 18 years:,d4d0RJ0F00s
p20,29,p0200027,,,INTEGER,,,Family households:,d4d0RJ0F00t
p20,30,p0200028,,,INTEGER,,,Husband-wife family,d4d0RJ0F00u
p20,31,p0200029,,,INTEGER,,,Other family:,d4d0RJ0F00v
p20,32,p0200030,,,INTEGER,,,"Male householder, no wife present",d4d0RJ0F00w
p20,33,p0200031,,,INTEGER,,,"Female householder, no husband present",d4d0RJ0F00x
p20,34,p0200032,,,INTEGER,,,Nonfamily households:,d4d0RJ0F00y
p20,35,p0200033,,,INTEGER,,,Male householder,d4d0RJ0F00z
p20,36,p0200034,,,INTEGER,,,Female householder,d4d0RJ0F00A
,,,,,,,,,
p21,1,id,1,,INTEGER64,,6,,d4d0RJ0G001
p21,2,geoid,,,VARCHAR,1,,,d4d0RJ0G002
p21,3,p0210001,,,INTEGER,,,Total:,d4d0RJ0G003
p21,4,p0210002,,,INTEGER,,,Householder 15 to 64 years:,d4d0RJ0G004
p21,5,p0210003,,,INTEGER,,,Family households:,d4d0RJ0G005
p21,6,p0210004,,,INTEGER,,,Husband-wife family:,d4d0RJ0G006
p21,7,p0210005,,,INTEGER,,,With related children under 18 years,d4d0RJ0G007
p21,8,p0210006,,,INTEGER,,,No related children under 18 years,d4d0RJ0G008
p21,9,p0210007,,,INTEGER,,,Other family:,d4d0RJ0G009
p21,10,p0210008,,,INTEGER,,,"Male householder, no wife present:",d4d0RJ0G00a
p21,11,p0210009,,,INTEGER,,,With related children under 18 years,d4d0RJ0G00b
p21,12,p0210010,,,INTEGER,,,No related children under 18 years,d4d0RJ0G00c
p21,13,p0210011,,,INTEGER,,,"Female householder, no husband present:",d4d0RJ0G00d
p21,14,p0210012,,,INTEGER,,,With related children under 18 years,d4d0RJ0G00e
p21,15,p0210013,,,INTEGER,,,No related children under 18 years,d4d0RJ0G00f
p21,16,p0210014,,,INTEGER,,,Nonfamily households:,d4d0RJ0G00g
p21,17,p0210015,,,INTEGER,,,Householder living alone,d4d0RJ0G00h
p21,18,p0210016,,,INTEGER,,,Householder not living alone,d4d0RJ0G00i
p21,19,p0210017,,,INTEGER,,,Householder 65 years and over:,d4d0RJ0G00j
p21,20,p0210018,,,INTEGER,,,Family households:,d4d0RJ0G00k
p21,21,p0210019,,,INTEGER,,,Husband-wife family:,d4d0RJ0G00l
p21,22,p0210020,,,INTEGER,,,With related children under 18 years,d4d0RJ0G00m
p21,23,p0210021,,,INTEGER,,,No related children under 18 years,d4d0RJ0G00n
p21,24,p0210022,,,INTEGER,,,Other family:,d4d0RJ0G00o
p21,25,p0210023,,,INTEGER,,,"Male householder, no wife present:",d4d0RJ0G00p
p21,26,p0210024,,,INTEGER,,,With related children under 18 years,d4d0RJ0G00q
p21,27,p0210025,,,INTEGER,,,No related children under 18 years,d4d0RJ0G00r
p21,28,p0210026,,,INTEGER,,,"Female householder, no husband present:",d4d0RJ0G00s
p21,29,p0210027,,,INTEGER,,,With related children under 18 years,d4d0RJ0G00t
p21,30,p0210028,,,INTEGER,,,No related children under 18 years,d4d0RJ0G00u
p21,31,p0210029,,,INTEGER,,,Nonfamily households:,d4d0RJ0G00v
p21,32,p0210030,,,INTEGER,,,Householder living alone,d4d0RJ0G00w
p21,33,p0210031,,,INTEGER,,,Householder not living alone,d4d0RJ0G00x
,,,,,,,,,
p22,1,id,1,,INTEGER64,,6,,d4d0RJ0H001
p22,2,geoid,,,VARCHAR,1,,,d4d0RJ0H002
p22,3,p0220001,,,INTEGER,,,Total:,d4d0RJ0H003
p22,4,p0220002,,,INTEGER,,,Family households:,d4d0RJ0H004
p22,5,p0220003,,,INTEGER,,,Householder 15 to 24 years,d4d0RJ0H005
p22,6,p0220004,,,INTEGER,,,Householder 25 to 34 years,d4d0RJ0H006
p22,7,p0220005,,,INTEGER,,,Householder 35 to 44 years,d4d0RJ0H007
p22,8,p0220006,,,INTEGER,,,Householder 45 to 54 years,d4d0RJ0H008
p22,9,p0220007,,,INTEGER,,,Householder 55 to 59 years,d4d0RJ0H009
p22,10,p0220008,,,INTEGER,,,Householder 60 to 64 years,d4d0RJ0H00a
p22,11,p0220009,,,INTEGER,,,Householder 65 to 74 years,d4d0RJ0H00b
p22,12,p0220010,,,INTEGER,,,Householder 75 to 84 years,d4d0RJ0H00c
p22,13,p0220011,,,INTEGER,,,Householder 85 years and over,d4d0RJ0H00d
p22,14,p0220012,,,INTEGER,,,Nonfamily households:,d4d0RJ0H00e
p22,15,p0220013,,,INTEGER,,,Householder 15 to 24 years,d4d0RJ0H00f
p22,16,p0220014,,,INTEGER,,,Householder 25 to 34 years,d4d0RJ0H00g
p22,17,p0220015,,,INTEGER,,,Householder 35 to 44 years,d4d0RJ0H00h
p22,18,p0220016,,,INTEGER,,,Householder 45 to 54 years,d4d0RJ0H00i
p22,19,p0220017,,,INTEGER,,,Householder 55 to 59 years,d4d0RJ0H00j
p22,20,p0220018,,,INTEGER,,,Householder 60 to 64 years,d4d0RJ0H00k
p22,21,p0220019,,,INTEGER,,,Householder 65 to 74 years,d4d0RJ0H00l
p22,22,p0220020,,,INTEGER,,,Householder 75 to 84 years,d4d0RJ0H00m
p22,23,p0220021,,,INTEGER,,,Householder 85 years and over,d4d0RJ0H00n
,,,,,,,,,
p23,1,id,1,,INTEGER64,,6,,d4d0RJ0I001
p23,2,geoid,,,VARCHAR,1,,,d4d0RJ0I002
p23,3,p0230001,,,INTEGER,,,Total:,d4d0RJ0I003
p23,4,p0230002,,,INTEGER,,,Households with one or more people 60 years and over:,d4d0RJ0I004
p23,5,p0230003,,,INTEGER,,,Family households:,d4d0RJ0I005
p23,6,p0230004,,,INTEGER,,,Husband-wife family,d4d0RJ0I006
p23,7,p0230005,,,INTEGER,,,Other family:,d4d0RJ0I007
p23,8,p0230006,,,INTEGER,,,"Male householder, no wife present",d4d0RJ0I008
p23,9,p0230007,,,INTEGER,,,"Female householder, no husband present",d4d0RJ0I009
p23,10,p0230008,,,INTEGER,,,Nonfamily households,d4d0RJ0I00a
p23,11,p0230009,,,INTEGER,,,Households with no people 60 years and over:,d4d0RJ0I00b
p23,12,p0230010,,,INTEGER,,,Family households:,d4d0RJ0I00c
p23,13,p0230011,,,INTEGER,,,Husband-wife family,d4d0RJ0I00d
p23,14,p0230012,,,INTEGER,,,Other family:,d4d0RJ0I00e
p23,15,p0230013,,,INTEGER,,,"Male householder, no wife present",d4d0RJ0I00f
p23,16,p0230014,,,INTEGER,,,"Female householder, no husband present",d4d0RJ0I00g
p23,17,p0230015,,,INTEGER,,,Nonfamily households,d4d0RJ0I00h
,,,,,,,,,
p24,1,id,1,,INTEGER64,,6,,d4d0RJ0J001
p24,2,geoid,,,VARCHAR,1,,,d4d0RJ0J002
p24,3,p0240001,,,INTEGER,,,Total:,d4d0RJ0J003
p24,4,p0240002,,,INTEGER,,,Households with one or more people 60 years and over:,d4d0RJ0J004
p24,5,p0240003,,,INTEGER,,,1-person household,d4d0RJ0J005
p24,6,p0240004,,,INTEGER,,,2-or-more-person household:,d4d0RJ0J006
p24,7,p0240005,,,INTEGER,,,Family households,d4d0RJ0J007
p24,8,p0240006,,,INTEGER,,,Nonfamily households,d4d0RJ0J008
p24,9,p0240007,,,INTEGER,,,Households with no people 60 years and over:,d4d0RJ0J009
p24,10,p0240008,,,INTEGER,,,1-person household,d4d0RJ0J00a
p24,11,p0240009,,,INTEGER,,,2-or-more-person household:,d4d0RJ0J00b
p24,12,p0240010,,,INTEGER,,,Family households,d4d0RJ0J00c
p24,13,p0240011,,,INTEGER,,,Nonfamily households,d4d0RJ0J00d
,,,,,,,,,
p25,1,id,1,,INTEGER64,,6,,d4d0RJ0K001
p25,2,geoid,,,VARCHAR,1,,,d4d0RJ0K002
p25,3,p0250001,,,INTEGER,,,Total:,d4d0RJ0K003
p25,4,p0250002,,,INTEGER,,,Households with one or more people 65 years and over:,d4d0RJ0K004
p25,5,p0250003,,,INTEGER,,,1-person household,d4d0RJ0K005
p25,6,p0250004,,,INTEGER,,,2-or-more-person household:,d4d0RJ0K006
p25,7,p0250005,,,INTEGER,,,Family households,d4d0RJ0K007
p25,8,p0250006,,,INTEGER,,,Nonfamily households,d4d0RJ0K008
p25,9,p0250007,,,INTEGER,,,Households with no people 65 years and over:,d4d0RJ0K009
p25,10,p0250008,,,INTEGER,,,1-person household,d4d0RJ0K00a
p25,11,p0250009,,,INTEGER,,,2-or-more-person household:,d4d0RJ0K00b
p25,12,p0250010,,,INTEGER,,,Family households,d4d0RJ0K00c
p25,13,p0250011,,,INTEGER,,,Nonfamily households,d4d0RJ0K00d
,,,,,,,,,
p26,1,id,1,,INTEGER64,,6,,d4d0RJ0L001
p26,2,geoid,,,VARCHAR,1,,,d4d0RJ0L002
p26,3,p0260001,,,INTEGER,,,Total:,d4d0RJ0L003
p26,4,p0260002,,,INTEGER,,,Households with one or more people 75 years and over:,d4d0RJ0L004
p26,5,p0260003,,,INTEGER,,,1-person household,d4d0RJ0L005
p26,6,p0260004,,,INTEGER,,,2-or-more-person household:,d4d0RJ0L006
p26,7,p0260005,,,INTEGER,,,Family households,d4d0RJ0L007
p26,8,p0260006,,,INTEGER,,,Nonfamily households,d4d0RJ0L008
p26,9,p0260007,,,INTEGER,,,Households with no people 75 years and over:,d4d0RJ0L009
p26,10,p0260008,,,INTEGER,,,1-person household,d4d0RJ0L00a
p26,11,p0260009,,,INTEGER,,,2-or-more-person household:,d4d0RJ0L00b
p26,12,p0260010,,,INTEGER,,,Family households,d4d0RJ0L00c
p26,13,p0260011,,,INTEGER,,,Nonfamily households,d4d0RJ0L00d
,,,,,,,,,
p27,1,id,1,,INTEGER64,,6,,d4d0RJ0M001
p27,2,geoid,,,VARCHAR,1,,,d4d0RJ0M002
p27,3,p0270001,,,INTEGER,,,Total:,d4d0RJ0M003
p27,4,p0270002,,,INTEGER,,,Households with one or more nonrelatives,d4d0RJ0M004
p27,5,p0270003,,,INTEGER,,,Households with no nonrelatives,d4d0RJ0M005
,,,,,,,,,
p28,1,id,1,,INTEGER64,,6,,d4d0RJ0N001
p28,2,geoid,,,VARCHAR,1,,,d4d0RJ0N002
p28,3,p0280001,,,INTEGER,,,Total:,d4d0RJ0N003
p28,4,p0280002,,,INTEGER,,,Family households:,d4d0RJ0N004
p28,5,p0280003,,,INTEGER,,,2-person household,d4d0RJ0N005
p28,6,p0280004,,,INTEGER,,,3-person household,d4d0RJ0N006
p28,7,p0280005,,,INTEGER,,,4-person household,d4d0RJ0N007
p28,8,p0280006,,,INTEGER,,,5-person household,d4d0RJ0N008
p28,9,p0280007,,,INTEGER,,,6-person household,d4d0RJ0N009
p28,10,p0280008,,,INTEGER,,,7-or-more-person household,d4d0RJ0N00a
p28,11,p0280009,,,INTEGER,,,Nonfamily households:,d4d0RJ0N00b
p28,12,p0280010,,,INTEGER,,,1-person household,d4d0RJ0N00c
p28,13,p0280011,,,INTEGER,,,2-person household,d4d0RJ0N00d
p28,14,p0280012,,,INTEGER,,,3-person household,d4d0RJ0N00e
p28,15,p0280013,,,INTEGER,,,4-person household,d4d0RJ0N00f
p28,16,p0280014,,,INTEGER,,,5-person household,d4d0RJ0N00g
p28,17,p0280015,,,INTEGER,,,6-person household,d4d0RJ0N00h
p28,18,p0280016,,,INTEGER,,,7-or-more-person household,d4d0RJ0N00i
,,,,,,,,,
p29,1,id,1,,INTEGER64,,6,,d4d0RJ0O001
p29,2,geoid,,,VARCHAR,1,,,d4d0RJ0O002
p29,3,p0290001,,,INTEGER,,,Total:,d4d0RJ0O003
p29,4,p0290002,,,INTEGER,,,In households:,d4d0RJ0O004
p29,5,p0290003,,,INTEGER,,,In family households:,d4d0RJ0O005
p29,6,p0290004,,,INTEGER,,,Householder:,d4d0RJ0O006
p29,7,p0290005,,,INTEGER,,,Male,d4d0RJ0O007
p29,8,p0290006,,,INTEGER,,,Female,d4d0RJ0O008
p29,9,p0290007,,,INTEGER,,,Spouse,d4d0RJ0O009
p29,10,p0290008,,,INTEGER,,,Biological child,d4d0RJ0O00a
p29,11,p0290009,,,INTEGER,,,Adopted child,d4d0RJ0O00b
p29,12,p0290010,,,INTEGER,,,Stepchild,d4d0RJ0O00c
p29,13,p0290011,,,INTEGER,,,Grandchild,d4d0RJ0O00d
p29,14,p0290012,,,INTEGER,,,Brother or sister,d4d0RJ0O00e
p29,15,p0290013,,,INTEGER,,,Parent,d4d0RJ0O00f
p29,16,p0290014,,,INTEGER,,,Parent-in-law,d4d0RJ0O00g
p29,17,p0290015,,,INTEGER,,,Son-in-law or daughter-in-law,d4d0RJ0O00h
p29,18,p0290016,,,INTEGER,,,Other relatives,d4d0RJ0O00i
p29,19,p0290017,,,INTEGER,,,Nonrelatives,d4d0RJ0O00j
p29,20,p0290018,,,INTEGER,,,In nonfamily households:,d4d0RJ0O00k
p29,21,p0290019,,,INTEGER,,,Male householder:,d4d0RJ0O00l
p29,22,p0290020,,,INTEGER,,,Living alone,d4d0RJ0O00m
p29,23,p0290021,,,INTEGER,,,Not living alone,d4d0RJ0O00n
p29,24,p0290022,,,INTEGER,,,Female householder:,d4d0RJ0O00o
p29,25,p0290023,,,INTEGER,,,Living alone,d4d0RJ0O00p
p29,26,p0290024,,,INTEGER,,,Not living alone,d4d0RJ0O00q
p29,27,p0290025,,,INTEGER,,,Nonrelatives,d4d0RJ0O00r
p29,28,p0290026,,,INTEGER,,,In group quarters:,d4d0RJ0O00s
p29,29,p0290027,,,INTEGER,,,Institutionalized population,d4d0RJ0O00t
p29,30,p0290028,,,INTEGER,,,Noninstitutionalized population,d4d0RJ0O00u
,,,,,,,,,
p3,1,id,1,,INTEGER64,,6,,d4d0RJ0P001
p3,2,geoid,,,VARCHAR,1,,,d4d0RJ0P002
p3,3,p0030001,,,INTEGER,,,Total:,d4d0RJ0P003
p3,4,p0030002,,,INTEGER,,,White alone,d4d0RJ0P004
p3,5,p0030003,,,INTEGER,,,Black or African American alone,d4d0RJ0P005
p3,6,p0030004,,,INTEGER,,,American Indian and Alaska Native alone,d4d0RJ0P006
p3,7,p0030005,,,INTEGER,,,Asian alone,d4d0RJ0P007
p3,8,p0030006,,,INTEGER,,,Native Hawaiian and Other Pacific Islander alone,d4d0RJ0P008
p3,9,p0030007,,,INTEGER,,,Some Other Race alone,d4d0RJ0P009
p3,10,p0030008,,,INTEGER,,,Two or More Races,d4d0RJ0P00a
,,,,,,,,,
p30,1,id,1,,INTEGER64,,6,,d4d0RJ0Q001
p30,2,geoid,,,VARCHAR,1,,,d4d0RJ0Q002
p30,3,p0300001,,,INTEGER,,,Total:,d4d0RJ0Q003
p30,4,p0300002,,,INTEGER,,,In family households:,d4d0RJ0Q004
p30,5,p0300003,,,INTEGER,,,In husband-wife family,d4d0RJ0Q005
p30,6,p0300004,,,INTEGER,,,In other family:,d4d0RJ0Q006
p30,7,p0300005,,,INTEGER,,,"In male householder, no wife present family",d4d0RJ0Q007
p30,8,p0300006,,,INTEGER,,,"In female householder, no husband present family",d4d0RJ0Q008
p30,9,p0300007,,,INTEGER,,,In nonfamily households:,d4d0RJ0Q009
p30,10,p0300008,,,INTEGER,,,In households with a male householder:,d4d0RJ0Q00a
p30,11,p0300009,,,INTEGER,,,In 1-person household,d4d0RJ0Q00b
p30,12,p0300010,,,INTEGER,,,In 2-or-more-person household,d4d0RJ0Q00c
p30,13,p0300011,,,INTEGER,,,In households with a female householder:,d4d0RJ0Q00d
p30,14,p0300012,,,INTEGER,,,In 1-person household,d4d0RJ0Q00e
p30,15,p0300013,,,INTEGER,,,In 2-or-more-person household,d4d0RJ0Q00f
,,,,,,,,,
p31,1,id,1,,INTEGER64,,6,,d4d0RJ0R001
p31,2,geoid,,,VARCHAR,1,,,d4d0RJ0R002
p31,3,p0310001,,,INTEGER,,,Total:,d4d0RJ0R003
p31,4,p0310002,,,INTEGER,,,In households:,d4d0RJ0R004
p31,5,p0310003,,,INTEGER,,,Householder or spouse,d4d0RJ0R005
p31,6,p0310004,,,INTEGER,,,Related child:,d4d0RJ0R006
p31,7,p0310005,,,INTEGER,,,Own child:,d4d0RJ0R007
p31,8,p0310006,,,INTEGER,,,In husband-wife family,d4d0RJ0R008
p31,9,p0310007,,,INTEGER,,,In other family:,d4d0RJ0R009
p31,10,p0310008,,,INTEGER,,,"In male householder, no wife present family",d4d0RJ0R00a
p31,11,p0310009,,,INTEGER,,,"In female householder, no husband present family",d4d0RJ0R00b
p31,12,p0310010,,,INTEGER,,,Other relatives:,d4d0RJ0R00c
p31,13,p0310011,,,INTEGER,,,Grandchild,d4d0RJ0R00d
p31,14,p0310012,,,INTEGER,,,Other relatives,d4d0RJ0R00e
p31,15,p0310013,,,INTEGER,,,Nonrelatives,d4d0RJ0R00f
p31,16,p0310014,,,INTEGER,,,In group quarters:,d4d0RJ0R00g
p31,17,p0310015,,,INTEGER,,,Institutionalized population,d4d0RJ0R00h
p31,18,p0310016,,,INTEGER,,,Noninstitutionalized population,d4d0RJ0R00i
,,,,,,,,,
p32,1,id,1,,INTEGER64,,6,,d4d0RJ0S001
p32,2,geoid,,,VARCHAR,1,,,d4d0RJ0S002
p32,3,p0320001,,,INTEGER,,,Total:,d4d0RJ0S003
p32,4,p0320002,,,INTEGER,,,In households:,d4d0RJ0S004
p32,5,p0320003,,,INTEGER,,,Householder or spouse,d4d0RJ0S005
p32,6,p0320004,,,INTEGER,,,Related child:,d4d0RJ0S006
p32,7,p0320005,,,INTEGER,,,Own child:,d4d0RJ0S007
p32,8,p0320006,,,INTEGER,,,Under 3 years,d4d0RJ0S008
p32,9,p0320007,,,INTEGER,,,3 and 4 years,d4d0RJ0S009
p32,10,p0320008,,,INTEGER,,,5 years,d4d0RJ0S00a
p32,11,p0320009,,,INTEGER,,,6 to 11 years,d4d0RJ0S00b
p32,12,p0320010,,,INTEGER,,,12 and 13 years,d4d0RJ0S00c
p32,13,p0320011,,,INTEGER,,,14 years,d4d0RJ0S00d
p32,14,p0320012,,,INTEGER,,,15 to 17 years,d4d0RJ0S00e
p32,15,p0320013,,,INTEGER,,,Other relatives:,d4d0RJ0S00f
p32,16,p0320014,,,INTEGER,,,Under 3 years,d4d0RJ0S00g
p32,17,p0320015,,,INTEGER,,,3 and 4 years,d4d0RJ0S00h
p32,18,p0320016,,,INTEGER,,,5 years,d4d0RJ0S00i
p32,19,p0320017,,,INTEGER,,,6 to 11 years,d4d0RJ0S00j
p32,20,p0320018,,,INTEGER,,,12 and 13 years,d4d0RJ0S00k
p32,21,p0320019,,,INTEGER,,,14 years,d4d0RJ0S00l
p32,22,p0320020,,,INTEGER,,,15 to 17 years,d4d0RJ0S00m
p32,23,p0320021,,,INTEGER,,,Nonrelatives:,d4d0RJ0S00n
p32,24,p0320022,,,INTEGER,,,Under 3 years,d4d0RJ0S00o
p32,25,p0320023,,,INTEGER,,,3 and 4 years,d4d0RJ0S00p
p32,26,p0320024,,,INTEGER,,,5 years,d4d0RJ0S00q
p32,27,p0320025,,,INTEGER,,,6 to 11 years,d4d0RJ0S00r
p32,28,p0320026,,,INTEGER,,,12 and 13 years,d4d0RJ0S00s
p32,29,p0320027,,,INTEGER,,,14 years,d4d0RJ0S00t
p32,30,p0320028,,,INTEGER,,,15 to 17 years,d4d0RJ0S00u
p32,31,p0320029,,,INTEGER,,,In group quarters:,d4d0RJ0S00v
p32,32,p0320030,,,INTEGER,,,Institutionalized population:,d4d0RJ0S00w
p32,33,p0320031,,,INTEGER,,,Under 3 years,d4d0RJ0S00x
p32,34,p0320032,,,INTEGER,,,3 and 4 years,d4d0RJ0S00y
p32,35,p0320033,,,INTEGER,,,5 years,d4d0RJ0S00z
p32,36,p0320034,,,INTEGER,,,6 to 11 years,d4d0RJ0S00A
p32,37,p0320035,,,INTEGER,,,12 and 13 years,d4d0RJ0S00B
p32,38,p0320036,,,INTEGER,,,14 years,d4d0RJ0S00C
p32,39,p0320037,,,INTEGER,,,15 to 17 years,d4d0RJ0S00D
p32,40,p0320038,,,INTEGER,,,Noninstitutionalized population:,d4d0RJ0S00E
p32,41,p0320039,,,INTEGER,,,Under 3 years,d4d0RJ0S00F
p32,42,p0320040,,,INTEGER,,,3 and 4 years,d4d0RJ0S00G
p32,43,p0320041,,,INTEGER,,,5 years,d4d0RJ0S00H
p32,44,p0320042,,,INTEGER,,,6 to 11 years,d4d0RJ0S00I
p32,45,p0320043,,,INTEGER,,,12 and 13 years,d4d0RJ0S00J
p32,46,p0320044,,,INTEGER,,,14 years,d4d0RJ0S00K
p32,47,p0320045,,,INTEGER,,,15 to 17 years,d4d0RJ0S00L
,,,,,,,,,
p33,1,id,1,,INTEGER64,,6,,d4d0RJ0T001
p33,2,geoid,,,VARCHAR,1,,,d4d0RJ0T002
p33,3,p0330001,,,INTEGER,,,Total:,d4d0RJ0T003
p33,4,p0330002,,,INTEGER,,,In family households:,d4d0RJ0T004
p33,5,p0330003,,,INTEGER,,,In husband-wife family,d4d0RJ0T005
p33,6,p0330004,,,INTEGER,,,In other family:,d4d0RJ0T006
p33,7,p0330005,,,INTEGER,,,"In male householder, no wife present family",d4d0RJ0T007
p33,8,p0330006,,,INTEGER,,,"In female householder, no husband present family",d4d0RJ0T008
p33,9,p0330007,,,INTEGER,,,In nonfamily households,d4d0RJ0T009
,,,,,,,,,
p34,1,id,1,,INTEGER64,,6,,d4d0RJ0U001
p34,2,geoid,,,VARCHAR,1,,,d4d0RJ0U002
p34,3,p0340001,,,INTEGER,,,Total:,d4d0RJ0U003
p34,4,p0340002,,,INTEGER,,,In households:,d4d0RJ0U004
p34,5,p0340003,,,INTEGER,,,In family households:,d4d0RJ0U005
p34,6,p0340004,,,INTEGER,,,Householder:,d4d0RJ0U006
p34,7,p0340005,,,INTEGER,,,Male,d4d0RJ0U007
p34,8,p0340006,,,INTEGER,,,Female,d4d0RJ0U008
p34,9,p0340007,,,INTEGER,,,Spouse,d4d0RJ0U009
p34,10,p0340008,,,INTEGER,,,Parent,d4d0RJ0U00a
p34,11,p0340009,,,INTEGER,,,Parent-in-law,d4d0RJ0U00b
p34,12,p0340010,,,INTEGER,,,Other relatives,d4d0RJ0U00c
p34,13,p0340011,,,INTEGER,,,Nonrelatives,d4d0RJ0U00d
p34,14,p0340012,,,INTEGER,,,In nonfamily households:,d4d0RJ0U00e
p34,15,p0340013,,,INTEGER,,,Male householder:,d4d0RJ0U00f
p34,16,p0340014,,,INTEGER,,,Living alone,d4d0RJ0U00g
p34,17,p0340015,,,INTEGER,,,Not living alone,d4d0RJ0U00h
p34,18,p0340016,,,INTEGER,,,Female householder:,d4d0RJ0U00i
p34,19,p0340017,,,INTEGER,,,Living alone,d4d0RJ0U00j
p34,20,p0340018,,,INTEGER,,,Not living alone,d4d0RJ0U00k
p34,21,p0340019,,,INTEGER,,,Nonrelatives,d4d0RJ0U00l
p34,22,p0340020,,,INTEGER,,,In group quarters:,d4d0RJ0U00m
p34,23,p0340021,,,INTEGER,,,Institutionalized population,d4d0RJ0U00n
p34,24,p0340022,,,INTEGER,,,Noninstitutionalized population,d4d0RJ0U00o
,,,,,,,,,
p34f,1,id,1,,INTEGER64,,6,,d4d0RJ0V001
p34f,2,geoid,,,VARCHAR,1,,,d4d0RJ0V002
p34f,3,p034f001,,,INTEGER,,,Total:,d4d0RJ0V003
p34f,4,p034f002,,,INTEGER,,,In households:,d4d0RJ0V004
p34f,5,p034f003,,,INTEGER,,,In family households:,d4d0RJ0V005
p34f,6,p034f004,,,INTEGER,,,Householder:,d4d0RJ0V006
p34f,7,p034f005,,,INTEGER,,,Male,d4d0RJ0V007
p34f,8,p034f006,,,INTEGER,,,Female,d4d0RJ0V008
p34f,9,p034f007,,,INTEGER,,,Spouse,d4d0RJ0V009
p34f,10,p034f008,,,INTEGER,,,Parent,d4d0RJ0V00a
p34f,11,p034f009,,,INTEGER,,,Parent-in-law,d4d0RJ0V00b
p34f,12,p034f010,,,INTEGER,,,Other relatives,d4d0RJ0V00c
p34f,13,p034f011,,,INTEGER,,,Nonrelatives,d4d0RJ0V00d
p34f,14,p034f012,,,INTEGER,,,In nonfamily households:,d4d0RJ0V00e
p34f,15,p034f013,,,INTEGER,,,Male householder:,d4d0RJ0V00f
p34f,16,p034f014,,,INTEGER,,,Living alone,d4d0RJ0V00g
p34f,17,p034f015,,,INTEGER,,,Not living alone,d4d0RJ0V00h
p34f,18,p034f016,,,INTEGER,,,Female householder:,d4d0RJ0V00i
p34f,19,p034f017,,,INTEGER,,,Living alone,d4d0RJ0V00j
p34f,20,p034f018,,,INTEGER,,,Not living alone,d4d0RJ0V00k
p34f,21,p034f019,,,INTEGER,,,Nonrelatives,d4d0RJ0V00l
p34f,22,p034f020,,,INTEGER,,,In group quarters:,d4d0RJ0V00m
p34f,23,p034f021,,,INTEGER,,,Institutionalized population,d4d0RJ0V00n
p34f,24,p034f022,,,INTEGER,,,Noninstitutionalized population,d4d0RJ0V00o
,,,,,,,,,
p34g,1,id,1,,INTEGER64,,6,,d4d0RJ0W001
p34g,2,geoid,,,VARCHAR,1,,,d4d0RJ0W002
p34g,3,p034g001,,,INTEGER,,,Total:,d4d0RJ0W003
p34g,4,p034g002,,,INTEGER,,,In households:,d4d0RJ0W004
p34g,5,p034g003,,,INTEGER,,,In family households:,d4d0RJ0W005
p34g,6,p034g004,,,INTEGER,,,Householder:,d4d0RJ0W006
p34g,7,p034g005,,,INTEGER,,,Male,d4d0RJ0W007
p34g,8,p034g006,,,INTEGER,,,Female,d4d0RJ0W008
p34g,9,p034g007,,,INTEGER,,,Spouse,d4d0RJ0W009
p34g,10,p034g008,,,INTEGER,,,Parent,d4d0RJ0W00a
p34g,11,p034g009,,,INTEGER,,,Parent-in-law,d4d0RJ0W00b
p34g,12,p034g010,,,INTEGER,,,Other relatives,d4d0RJ0W00c
p34g,13,p034g011,,,INTEGER,,,Nonrelatives,d4d0RJ0W00d
p34g,14,p034g012,,,INTEGER,,,In nonfamily households:,d4d0RJ0W00e
p34g,15,p034g013,,,INTEGER,,,Male householder:,d4d0RJ0W00f
p34g,16,p034g014,,,INTEGER,,,Living alone,d4d0RJ0W00g
